"experiment","acte","scene","version","chunk","verse_id","char","text","selected"
"mml06","1","4","original","0","109","VALÈRE","Chacun a ses soins dans le monde, et nous cherchons aussi ce que nous voudrions bien trouver.","0"
"mml06","1","4","modern","0","110","MARTINE","(Elle parle doucement.) J'aimerais trouver un moyen de me venger de mon mari infidèle. (Elle parle plus fort.) Vous êtes tombés sur la bonne personne! Nous avons ici l'homme le plus merveilleux du monde pour les maladies incurables.","0"
"mml06","1","4","modern","1","110","MARTINE","(Elle parle doucement.) J'aimerais trouver un moyen de me venger de mon mari. (Elle parle fort.) Vous êtes chanceux, car je connais un homme extraordinaire qui peut aider votre fille. Il est bizarre et fantasque, et il aime couper du bois. Il ne se vante pas de sa science et ne veut pas l'utiliser tous les jours.","0"
"mml07","1","4","modern","0","110","MARTINE","Est-ce quelque chose où je pourrais vous aider ?","1"
"mml06","1","4","original","0","110","MARTINE","Seroit-ce quelque chose où je vous puisse aider?","0"
"mml07","1","4","modern","0","111","VALÈRE","Cela pourrait se faire. Nous essayons de trouver un homme compétent, un médecin particulier, qui pourrait soulager la fille de notre maître, atteinte d'une maladie qui lui a subitement fait perdre l'usage de la langue. Plusieurs médecins ont déjà épuisé toute leur science sur elle, mais parfois, on trouve des gens avec des secrets étonnants, des remèdes particuliers, qui réussissent souvent là où les autres ont échoué. Et c'est ce que nous cherchons.","1"
"mml06","1","4","original","0","111","VALÈRE","Cela se pourroit faire; et nous tâchons de rencontrer quelque habile homme, quelque médecin particulier, qui pût donner quelque soulagement à la fille de notre maître, attaquée d'une maladie qui lui a ôté tout d'un coup l'usage de la langue. Plusieurs médecins ont déjà épuisé toute leur science après elle; mais on trouve parfois des gens avec des secrets admirables, de certains remèdes particuliers, qui font le plus souvent ce que les autres n'ont su faire, et c'est là ce que nous cherchons.","0"
"mml07","1","4","modern","0","112","MARTINE","(Elle dit ces premières lignes à voix basse.) Ah ! Que le Ciel m'inspire une idée géniale pour me venger de mon mari ! (À voix haute.) Vous ne pouviez pas mieux tomber pour trouver ce que vous cherchez. Nous avons ici un homme, l'homme le plus extraordinaire du monde pour les maladies désespérées.","0"
"mml07","1","4","modern","1","112","MARTINE","(Elle dit ces premières lignes bas.) Ah! Que le ciel m'inspire une idée géniale pour me venger de mon imbécile de mari! (Haut.) Vous ne pouviez pas mieux tomber pour trouver ce que vous cherchez, car nous avons ici un homme, le plus incroyable homme du monde pour les maladies désespérées.","1"
"mml06","1","4","original","0","112","MARTINE","(Elle dit ces premières lignes bas.) Ah! que le Ciel m'inspire une admirable invention pour me venger de mon pendart! (Haut.) Vous ne pouviez jamais vous mieux adresser pour rencontrer ce que vous cherchez, et nous avons ici un homme, le plus merveilleux homme du monde, pour les maladies désespérées.","0"
"mml06","1","4","modern","2","113","VALÈRE","Et où peut-on le trouver, s'il vous plaît?","1"
"mml07","1","4","modern","0","113","VALÈRE","Et, s'il vous plaît, où pouvons-nous le trouver ?","0"
"mml07","1","4","modern","1","113","VALÈRE","Et, s'il vous plaît, où pouvons-nous le trouver?","0"
"mml06","1","4","original","1","113","VALÈRE","Et, de grâce, où pouvons-nous le rencontrer?","0"
"mml06","1","4","modern","2","114","MARTINE","Il est en ce moment dans les bois, en train de couper du bois.","1"
"mml07","1","4","modern","0","114","MARTINE","Vous le trouverez maintenant près de ce petit endroit là-bas, où il s'amuse à couper du bois.","0"
"mml07","1","4","modern","1","114","MARTINE","Vous le trouverez maintenant près de cet endroit, là-bas, où il s'amuse à couper du bois.","0"
"mml06","1","4","original","1","114","MARTINE","Vous le trouverez maintenant vers ce petit lieu que voilà, qui s'amuse à couper du bois.","0"
"mml06","1","4","modern","2","115","LUCAS","Un médecin qui coupe du bois?","0"
"mml07","1","4","modern","0","115","LUCAS","Un médecin qui coupe du bois ?","0"
"mml06","1","4","original","1","115","LUCAS","Un médecin qui coupe du bois?","1"
"mml06","1","4","modern","2","116","VALÈRE","Vous voulez dire qu'il cueille des plantes médicinales?","1"
"mml07","1","4","modern","0","116","VALÈRE","Qui s'amuse à cueillir des plantes médicinales, voulez-vous dire ?","0"
"mml07","1","4","modern","1","116","VALÈRE","Vous voulez dire qui s'amuse à cueillir des plantes médicinales, n'est-ce pas?","0"
"mml06","1","4","original","1","116","VALÈRE","Qui s'amuse à cueillir des simples, voulez-vous dire?","0"
"mml06","1","4","modern","2","117","MARTINE","Non, c'est un personnage étrange et fantasque. Il s'habille de manière extravagante, parfois il feint d'être ignorant et cache sa connaissance médicale. Il évite de pratiquer la médecine autant que possible.","1"
"mml07","1","4","modern","0","117","MARTINE","Non, c'est un homme extraordinaire, qui aime ça, fantasque, bizarre, excentrique, et vous ne le prendriez jamais pour ce qu'il est. Il s'habille de façon extravagante, parfois il fait semblant d'être ignorant, il garde sa science pour lui et évite de pratiquer les talents merveilleux qu'il a reçus du Ciel pour la médecine.","0"
"mml07","1","4","modern","1","117","MARTINE","Non, c'est un homme extraordinaire qui aime ça, fantasque, bizarre, un peu fou, et vous ne le prendriez jamais pour ce qu'il est. Il s'habille de façon extravagante, parfois il fait semblant d'être ignorant, il garde sa connaissance secrète et il évite de pratiquer les talents merveilleux qu'il a reçus du ciel pour la médecine.","0"
"mml06","1","4","original","1","117","MARTINE","Non, c'est un homme extraordinaire, qui se plaît à cela, fantasque, bizarre, quinteux, et que vous ne prendriez jamais pour ce qu'il est. Il va vêtu d'une façon extravagante, affecte quelquefois de paroître ignorant, tient sa science renfermée, et ne fuit rien tant tous les jours que d'exercer les merveilleux talents qu'il a eus du Ciel pour la médecine.","0"
"mml06","1","4","modern","2","118","VALÈRE","C'est intéressant, les grands hommes ont souvent une touche de folie.","0"
"mml06","1","4","modern","3","118","VALÈRE","Tu trouves ça incroyable, Lucas?","0"
"mml07","1","4","modern","0","118","VALÈRE","C'est étonnant, tous les grands hommes ont toujours une part de folie, un petit grain de folie mêlé à leur science.","1"
"mml07","1","4","modern","1","118","VALÈRE","C'est étonnant, tous les grands hommes ont toujours une excentricité, un petit grain de folie mêlé à leur savoir.","0"
"mml06","1","4","original","2","118","VALÈRE","C'est une chose admirable, que tous les grands hommes ont toujours du caprice, quelque petit grain de folie mêlé à leur science.","0"
"mml06","1","4","modern","2","119","MARTINE","Sa folie est plus grande que vous ne pouvez l'imaginer. Parfois, il veut être battu pour prouver sa capacité. Si vous avez besoin de ses services, vous devrez le battre pour qu'il avoue qu'il est médecin. C'est ainsi que nous faisons avec lui.","1"
"mml06","1","4","modern","3","119","LUCAS","Ben oui, un médecin qui fait des miracles, c'est pas commun.","0"
"mml07","1","4","modern","0","119","MARTINE","La folie de celui-ci est plus grande qu'on ne peut imaginer, car parfois il va jusqu'à vouloir être battu pour prouver sa capacité. Et je vous préviens, vous n'arriverez jamais à le faire avouer qu'il est médecin, s'il en a décidé autrement, à moins que vous ne preniez chacun un bâton et que vous le réduisiez à force de coups jusqu'à ce qu'il vous avoue enfin ce qu'il vous cache au début. C'est ainsi que nous faisons quand nous avons besoin de lui.","0"
"mml07","1","4","modern","1","119","MARTINE","La folie de celui-ci est plus grande qu'on ne peut imaginer, parfois il veut même être battu pour prouver sa capacité. Je vous préviens, vous n'y arriverez pas, il n'avouera jamais qu'il est médecin, à moins que vous ne preniez chacun un bâton et que vous le frappiez jusqu'à ce qu'il vous avoue enfin ce qu'il cache au début. C'est ainsi que nous faisons quand nous avons besoin de lui.","0"
"mml06","1","4","original","2","119","MARTINE","La folie de celui-ci est plus grande qu'on ne peut croire, car elle va parfois jusqu'à vouloir être battu pour demeurer d'accord de sa capacité; et je vous donne avis que vous n'en viendrez point à bout, qu'il n'avouera jamais qu'il est médecin, s'il se le met en fantaisie, que vous ne preniez chacun un bâton, et ne le réduisiez, à force de coups, à vous confesser à la fin ce qu'il vous cachera d'abord. C'est ainsi que nous en usons quand nous avons besoin de lui.","0"
"mml06","1","4","modern","2","120","VALÈRE","C'est une folie étrange.","0"
"mml06","1","4","modern","3","120","MARTINE","Mais c'est vrai, je te dis! Cet homme, Sganarelle, est vraiment très doué. Il a même réussi à guérir une femme que tous les autres médecins avaient abandonnée. Elle était déjà considérée comme morte, mais il a réussi à la faire se lever et à marcher comme si de rien n'était.","0"
"mml07","1","4","modern","0","120","VALÈRE","C'est une folie étrange !","0"
"mml07","1","4","modern","1","120","VALÈRE","C'est une folie étrange!","0"
"mml07","1","4","modern","2","120","VALÈRE","C'est vraiment une folie étrange !","0"
"mml06","1","4","original","2","120","VALÈRE","Voilà une étrange folie!","1"
"mml06","1","4","modern","2","121","MARTINE","Mais il est capable de faire des miracles.","0"
"mml06","1","4","modern","3","121","VALÈRE","C'est impressionnant. Et comment peut-on le trouver?","0"
"mml07","1","4","modern","1","121","MARTINE","C'est vrai, mais après cela, vous verrez qu'il fait des miracles.","1"
"mml07","1","4","modern","2","121","MARTINE","C'est vrai, mais après ça, vous verrez qu'il fait des miracles.","0"
"mml06","1","4","original","2","121","MARTINE","Il est vrai; mais, après cela, vous verrez qu'il fait des merveilles.","0"
"mml06","1","4","modern","2","122","VALÈRE","Comment s'appelle-t-il?","0"
"mml06","1","4","modern","3","122","MARTINE","C'est facile, il est facilement reconnaissable avec sa grande barbe noire et son habit jaune et vert.","0"
"mml07","1","4","modern","2","122","VALÈRE","Comment s'appelle-t-il ?","0"
"mml06","1","4","original","2","122","VALÈRE","Comment s'appelle-t-il?","1"
"mml06","1","4","modern","3","123","LUCAS","Ah, je vois! C'est le médecin des oiseaux!","0"
"mml06","1","4","modern","4","123","MARTINE","Il s'appelle Sganarelle, c'est facile à reconnaître","0"
"mml07","1","4","modern","1","123","MARTINE","Il s'appelle Sganarelle, mais il est facile à reconnaître","1"
"mml07","1","4","modern","2","123","MARTINE","Il s'appelle Sganarelle, mais il est facile à reconnaître","0"
"mml06","1","4","original","3","123","MARTINE","Il s'appelle Sganarelle; mais il est aisé à connoître, c'est un homme qui a une large barbe noire, et qui porte une fraise, avec un habit jaune et vert.","0"
"mml06","1","4","modern","3","124","VALÈRE","Non, Lucas, tu confonds. Mais en tout cas, il faut qu'on le trouve. Il pourrait peut-être aider notre maître, qui est malade.","0"
"mml06","1","4","modern","4","124","LUCAS","Un costume jaune et vert! Est-ce le médecin des oiseaux?","0"
"mml07","1","4","modern","1","124","LUCAS","Un costume jaune et vert! C'est donc le médecin des perroquets?","0"
"mml07","1","4","modern","2","124","LUCAS","Un costume jaune et vert ! C'est donc le médecin des oiseaux ?","0"
"mml06","1","4","original","3","124","LUCAS","Un habit jaune et vart! C'est donc le médecin des paroquets?","0"
"mml06","1","4","modern","3","125","MARTINE","Oui, c'est une bonne idée. Mais attention, il est un peu fou, il pourrait refuser de se faire passer pour un médecin. Il faudrait peut-être le forcer un peu...","0"
"mml06","1","4","modern","4","125","VALÈRE","Mais est-ce vrai qu'il soit si compétent que vous le dites?","0"
"mml07","1","4","modern","1","125","VALÈRE","Mais est-il vraiment aussi talentueux que vous le dites?","0"
"mml07","1","4","modern","2","125","VALÈRE","Mais est-il vraiment aussi talentueux que vous le dites ?","0"
"mml06","1","4","original","3","125","VALÈRE","Mais est-il bien vrai qu'il soit si habile que vous le dites?","0"
"mml06","1","4","modern","3","126","VALÈRE","On verra bien. En tout cas, merci pour tes conseils, Martine.","0"
"mml06","1","4","modern","4","126","MARTINE","Comment! C'est un homme qui fait des miracles. Il y a six mois, une femme a été abandonnée par tous les autres médecins","0"
"mml07","1","4","modern","1","126","MARTINE","Comment! C'est un homme qui fait des miracles. Il y a six mois, une femme avait été abandonnée par tous les autres médecins","0"
"mml07","1","4","modern","2","126","MARTINE","Comment ! C'est un homme qui fait des miracles. Il y a six mois, une femme avait été abandonnée par tous les autres médecins","0"
"mml06","1","4","original","3","126","MARTINE","Comment! c'est un homme qui fait des miracles. Il y a six mois qu'une femme fut abandonnée de tous les autres médecins","0"
"mml06","1","4","modern","4","127","LUCAS","Ah!","0"
"mml07","1","4","modern","2","127","LUCAS","Ah !","0"
"mml06","1","4","original","3","127","LUCAS","Ah!","0"
"mml06","1","4","modern","4","128","VALÈRE","Il devait s'agir d'une goutte d'or potable.","0"
"mml06","1","4","modern","5","128","VALÈRE","Il devait s'agir d'une potion magique à base d'or.","0"
"mml07","1","4","modern","1","128","VALÈRE","Il devait s'agir d'une goutte d'élixir d'or.","0"
"mml06","1","4","original","4","128","VALÈRE","Il falloit que ce fût quelque goutte d'or potable.","0"
"mml06","1","4","modern","4","129","MARTINE","C'est possible. Il y a moins de trois semaines, un jeune enfant de douze ans est tombé du haut du clocher et s'est cassé la tête, les bras et les jambes en tombant sur le sol. Dès que notre homme est arrivé, il a frotté tout le corps de l'enfant avec une certaine pommade qu'il sait faire, et l'enfant s'est levé et a couru jouer à la fossette.","0"
"mml06","1","4","modern","5","129","MARTINE","C'est possible. Il y a moins de trois semaines, un enfant de douze ans est tombé du haut du clocher et s'est brisé la tête, les bras et les jambes en tombant sur le sol. Dès que notre homme est arrivé, il a frotté tout le corps de l'enfant avec une certaine pommade qu'il sait faire, et l'enfant s'est immédiatement levé et a couru jouer à la fossette.","0"
"mml07","1","4","modern","1","129","MARTINE","C'est possible. Il y a moins de trois semaines, un enfant de douze ans est tombé du haut du clocher et s'est brisé la tête, les bras et les jambes en tombant sur le sol. Dès que notre homme est arrivé, il a frotté tout le corps de l'enfant avec une certaine pommade qu'il sait faire, et l'enfant s'est immédiatement levé et s'est mis à jouer à la fossette.","0"
"mml07","1","4","modern","2","129","MARTINE","C'est bien possible. Il y a moins de trois semaines, un jeune enfant de douze ans est tombé du haut du clocher et s'est brisé la tête, les bras et les jambes en tombant sur le sol. Dès que notre homme est arrivé, il l'a frotté avec une certaine pommade qu'il sait faire, et l'enfant s'est immédiatement levé et s'est mis à jouer à la marelle.","0"
"mml06","1","4","original","4","129","MARTINE","Cela pourroit bien être. Il n'y a pas trois semaines encore qu'un jeune enfant de douze ans tomba du haut du clocher en bas, et se brisa sur le pavé la tête, les bras et les jambes. On n'y eut pas plus tôt amené notre homme qu'il le frotta par tout le corps d'un certain onguent qu'il sait faire, et l'enfant aussitôt se leva sur ses pieds et courut jouer à la fossette.","0"
"mml06","1","4","modern","4","130","LUCAS","Ah!","0"
"mml07","1","4","modern","2","130","LUCAS","Ah !","0"
"mml06","1","4","original","4","130","LUCAS","Ah!","0"
"mml06","1","4","modern","4","131","VALÈRE","Cet homme doit avoir la médecine universelle.","0"
"mml06","1","4","modern","5","131","VALÈRE","Cet homme doit avoir le remède universel.","0"
"mml06","1","4","original","4","131","VALÈRE","Il faut que cet homme-là ait la médecine universelle.","0"
"mml06","1","4","modern","4","132","MARTINE","Qui en doute?","0"
"mml07","1","4","modern","2","132","MARTINE","Qui en doute ?","0"
"mml06","1","4","original","4","132","MARTINE","Qui en doute?","0"
"mml06","1","4","modern","5","133","LUCAS","Témoin! C'est exactement l'homme qu'il nous faut; allons vite le chercher.","0"
"mml07","1","4","modern","2","133","LUCAS","Témoignage ! C'est justement l'homme qu'il nous faut ; allons vite le chercher.","0"
"mml06","1","4","original","5","133","LUCAS","Testigué! velà justement l'homme qu'il nous faut; allons vite le charcher.","0"
"mml06","1","4","modern","5","134","VALÈRE","Nous vous remercions pour cette information.","0"
"mml07","1","4","modern","2","134","VALÈRE","Nous vous remercions pour cette découverte.","0"
"mml06","1","4","original","5","134","VALÈRE","Nous vous remercions du plaisir que vous nous faites.","0"
"mml06","1","4","modern","5","135","MARTINE","Mais souvenez-vous de l'avertissement que je vous ai donné.","0"
"mml07","1","4","modern","2","135","MARTINE","Mais souvenez-vous au moins de l'avertissement que je vous ai donné.","0"
"mml06","1","4","original","5","135","MARTINE","Mais souvenez-vous bien au moins de l'avertissement que je vous ai donné.","0"
"mml06","1","4","modern","5","136","LUCAS","Hé! Ne vous inquiétez pas; si tout ce qu'il faut c'est de la force brute, nous sommes prêts à y aller.","1"
"mml07","1","4","modern","2","136","LUCAS","Hé ! Laissez-nous faire ; s'il suffit de le battre, la vache est à nous.","1"
"mml06","1","4","original","5","136","LUCAS","Hé! morguenne! laissez-nous faire; s'il ne tient qu'à battre, la vache est à nous.","0"
"mml07","1","4","modern","2","137","VALÈRE","Nous sommes vraiment chanceux d'avoir fait cette rencontre, et j'en ai la meilleure espérance du monde pour ma part.","0"
"mml07","1","4","original","2","137","VALÈRE","Nous sommes bien heureux d'avoir fait cette rencontre, et j'en conçois, pour moi, la meilleure espérance du monde.","0"
